,0
379,Fred Threlfall's thirty-five fine threads are finer threads than Fred Threlfall's thirty-five thick threads.
380,"Bug's black blood, Black bug's blood"
381,Reed Wade Road
382,Jack's nap sack strap snapped.
383,I saw Esau sitting on a seesaw. I saw Esau; he saw me.
384,A quick witted cricket critic.
385,Hitchcock Hawk Watch Spots Record Raptors
386,"Sure, sir, the ship's sure shipshape, sir."
387,The Smothers brothers' father's mother's brothers arethe Smothers brothers' mother's father's other brothers.
388,One Double Dozen Double Damask Dinner Napkins
389,"The cat crept into the crypt, crapped and crept out."
390,"Dear mother,give your other udder to my other brother."
391,Blended baby blue bug's blood blotches.
392,"So, this is the sushi chef?"
393,Furnish Freddie's nursery with forty-four furry Furby Beanie Babies.
394,"Arnold Palmer, Arnold Palmer, Arnold Palmer, ..."
395,A bitter biting bittern bit a better biting bitternAnd the better biting bittern bit the bitter biting bittern back.Said the bitter biting bittern to the better biting bittern“I’m a bitter biting bittern bitten back”
396,Certified certificates from certified certificate certifiers.
397,"Imagine, imagining imagining, an imaginary imaginary imaginary menageriemanager, imagining imagining imagining an imaginary imaginary imaginarymanagerie."
398,"What noise annoys a noisy oyster?Any noise annoys a noisy oyster, but a noisy noise annoys a noisy oyster most!"
399,"We need a plan to fan a pan; find a pan to fan, then find a fan to fan the pan, then fan the pan."
400,"How many snacks could a snack stacker stack, if a snack stacker snacked stacked snacks?"
401,Freddy is ready to roast red roaches. Ready for Freddy's roasted red roaches?
402,Who washed Washington's white woolen underwear when Washington's washer-woman went west?
403,On mules we find two legs behind and two we find before.We stand behind before we find what those behind be for.
404,"Three grey geeseIn a green field grazing,Grey were the geeseAnd green was the grazing."
405,Susie sits shinning silver shoes
406,"Ralph rakes leaves really, really lousily."
407,Lady Luck dislikes losers.
408,Broken back brake block
409,"Mumbling, bumbling. Bumbling, mumbling."
410,Of all the felt I ever felt I never felt felt that felt like that felt felt.
411,They hatch fish at the state fish hatchery and sell hatched fish to the fish stick factory.
412,In pine tar is. In oak none is. In mud eels are. In clay none is.
413,The sixth sick sheik's sixth sick sheep.
414,Thirty-six thick silk threads
415,Silly shoe-fly pie fans sell chilly shoe-fly pie pans.
416,"Kantai can tie a tie. If Kantai can tie a tie, why can't I tie a tie like Kantai can tie a tie."
417,The two-toed tree toad tried to tread where the three-toed tree toad trod.
418,Tricky Tristan tracked a trail of tiny turtles.  How many tiny turtles did Tricky Tristan track?Tricky Tristan tracked twenty two tiny turtles;that's how many tiny turtles tricky Tristan tracked.
419,"Esau Wood saw a wood saw, saw wood, as no wood saw would saw wood. If Esau Wood saw a wood saw, saw wood, as no wood saw would saw wood, where is the wood saw witch would saw wood, as no wood saw would saw wood."
420,"You're behaving like a babbling, bumbling band of baboons."
421,Iranian Uranium
422,"Giddy kiddy goat,Giddy kiddy goat,Giddy, giddy, giddy, giddy, giddy, kiddy goat."
423,He wanted to desert his dessert in the desert!
424,"If a Hottentot tot taught a Hottentot tot to talk before the tot would totter, ought the Hottentot tot be taught to say ought, or naught, or what ought to be taught the Hottentot tot? If to hoot and to toot a Hottentot tot be taught by a Hottentot tutor, should the tutor get hot if the Hottentot tot hoots and toots at the Hottentot tutor?"
425,"There was a writer called Wright, he taught his son to write Wright right:It's not right to write Wright 'Rite'"
426,Very rare vagrant wader
427,Crash Quiche Course
428,I broke a brickbat and a brickbat broke me.
429,A wooden worm wouldn't be worthy of worship but would he if he wondered and worried about what he would be worthy of if he wasn't wooden?
430,Give papa a cup of proper coffee in a copper coffee cup.
431,Nine nice night nurses nursing nicely.
432,"Farrell's features fabulous food 'n' fantastic fountain fantasies for frolicking, fun-filled festive families."
433,Who holds Joe's nose when he blows? Joe knows.
434,A singly circularly linked list.
435,The Final Fixing of the Foolish Fugitive
436,Thirty-three thousand feathers on a thrushes throat.
437,"When I went to Warsaw, I saw a saw that could outsaw any saw that Iever saw. Now, if you go to Warsaw and see a saw that could outsaw the saw I saw, I'd like to see your saw saw."
438,"If practice makes perfect and perfect needs practice, I’m perfectly practiced and practically perfect."
439,Six Czech cricket critics
440,Rubber Berber Gerber™ Burger
441,Lucid Lou slued loose the sluice that slew the slough.
442,"In Hertford, Hereford and Hampshire hurricanes hardly ever happen."
443,Thomas Tattamus took two T's to tie two tots to two tall trees.
444,"Hercules, a hardy hunter, hunted a hare in the Hampshire Hills. Hit him on the head with a hard, hard hammer and he howled horribly!"
445,Frank's fisher fishes on Friday for Frank's Friday fresh fried fish-fest.
446,"I saw a saw in Warsaw. Of all the saws I ever saw I never saw a saw that could saw, like the saw I saw in Warsaw."
447,"Dick had a dog, the dog dug, the dog dug deep,how deep did Dick's dog dig?"
448,It's a nice night for a white rice fight.
449,If a fella met a fella in a field of fitchesCan a fella tell a fella where a fella itches?
450,"I feel a feel a funny feel a funny feel feel I,If I feel a funny feel a funny feel feel I."
451,"Never trusta sloppy crust,a squally gust,ships that rust,or girls with lust."
452,A sad story about Nobody
453,Mr Knott and Mr Watt on the Phone
454,Round brown bread
455,"grip glue, grip glue, grip glue, ..."
456,Bob's pop-up blocker blocks Bob's pop-ups.
457,"Chill, Shake, Serve, ..."
458,M. R. DucksM.R. not DucksO. S. M. R.L. I'll B.M. R. Ducks!
459,How much cash could a sasquatch stash if a sasquatch could stash cash?
460,"A cunning young canner from CanningOnce observed to his granny,A canner can can  a lot of things gran"
461,"How many ducks could a duck duct-tape, if a duck could duct-tape ducks?"
462,Bad dead bed-bugs bleed bug blood.
463,"Upper roller, lower roller, upper roller, lower roller, upper roller, lower roller, ..."
464,"Bill had a billboard, Bill also had a board bill. The billboard bored Bill so Bill sold the billboard to pay for the board bill. "
465,Washington's wash woman washed Washington's wash while Washington's wife went west.
466,"Faith's face cloth, Faith's face cloth, Faith's face cloth, ..."
467,"Deer, deer, oh dear, oh dear,your career as a deer is over hereno, no, oh no, although your career as a skellytun's begun."
468,The sixth sick Sikh's sixth sheep is sick.
469,"Click, clap, pluck, ..."
470,"Mister Twister's tongue twisters, ..."
471,"Hum-min-a, Hum-min-a, Hum-min-a, ..."
472,"Mud bug, mud bug, mud bug, ..."
473,Polish it in the corner. Polish it in the corner. Polish it in the corner. ...
474,I gratefully gazed at the gracefully grazing gazelles.
475,"Really very weary, really very weary, really very weary, ..."
476,The sixth sick sheik's sixth sheep 's sick.
477,Thrushcross Grange
478,"Six sticky skeletons, six sticky skeletons, six sticky skeletons, ..."
479,Sheila is selling her shop at the seashoreFor shops at the seashore are so sure to loseAnd she’s not so sure of what she should be sellingShould Sheila sell seashells or should she sell shoes
480,"A canner exceedingly canny,One morning remarked to his granny,A canner can can,Anything that he can,But a canner can't can a can; can he?"
481,"She sat upon a balcony, inimicably mimicking him hiccuping and amicably welcoming him in."
482,"I can't believe that I Can't Believe It's Not Butter!"" is actually a butter that I can't believe is not butter."""
483,"You name it, we claim it. If we can't get it, we'll send you to get it. If we can't send you to get it, forgit it. Who's got it, if we don't got it?"
484,"If your Bob doesnt give our Bob that bob that your Bob owes our Bob, our Bob will give your Bob a bob in the eye."
485,"V: Voilà! In view, a humble vaudevillian veteran, cast vicariously as both victim and villain by the vicissitudes of Fate. This visage, no mere veneer of vanity, is a vestige of the vox populi, now vacant, vanished. However, this valorous visitation of a by-gone vexation, stands vivified and has vowed to vanquish these venal and virulent vermin van-guarding vice and vouchsafing the violently vicious and voracious violation of volition. [carves V into poster on wall]V: The only verdict is vengeance; a vendetta, held as a votive, not in vain, for the value and veracity of such shall one day vindicate the vigilant and the virtuous.[giggles]V: Verily, this vichyssoise of verbiage veers most verbose, so let me simply add that it's my very good honor to meet you and you may call me V."
486,chip shop chips
487,Velvet RevolverVelvet RevolverVelvet Revolver...
488,Shine my city shoes!
489,Sniff Sesh! Sniff Sesh! Sniff Sesh!
490,"The Knight said, He's"""
491,How much snus could a moose on the loose useif a moose on the loose could use loose snus?
492,Black Rock Brain Lock
493,Which Witch snitched the Snitch Witch?Or did the Snitch Witch snitch the Witch?If the Snitch Witch snitched the Witch then which Witch did the Snitch Witch snitch?
494,"A maid named Lady Marmalademade mainly lard and lemonade.M'lady lamely never madea well-named, labelled marmalade."
495,Theodore Thistle threw three thorny thistles. How many thorny thistles did Theodore Thistle throw?
496,Silly Sally Shouldnort shaved sheep she should show soon so selling sheep shaved showed she shouldn't show shaved sheep so soon.
497,"Cracker rapper, cracker rapper, cracker rapper, ..."
498,Lenny Lou leopard led leprechauns leaping like lemmings.
499,loyal royal lawyer
500,Darn dawn dog gone!
501,Free Ritz wristwatch.Try saying Ritz wristwatch 5 times fast!
502,"Six slick, slim, slender saplings."
503,"Tell a tall tale of a tall tailed dog, that told Tim it tap a tall ale and thump the top of Tim's tomb."
504,Old lady Hunt had a cuzzy Funt not a cuzzy Funt but a Hunt Funt cuzzy.
505,How much juice does a fruit juice producer produce when a fruit juice producer produces fruit juice? We can deduce a fruit juice produces as much juice as a fruit juice produce can seduce from the fruit that produces juice.
506,They think that their teeth get thinner at times they want to taste thick meat.
507,Three tired tigers try to throw three trees.
508,"I wish to wish the wish you wish to wish, but if you wish the wish the witch wishes, I won't wish the wish you wish to wish."
509,Ken can ken that Ken's kin can ken Ken's kin's ken.
510,The sixth shack's sixth sick sheik's sixth sheep 's sick.
511,Which Swiss witch switched the Swiss wristwatches?
512,"Cook Cookie"" Turk took Kookie Kirk a turkey cookie."""
513,How many tow trucks could a tow truck tow if a tow truck could tow tow trucks.
514,I miss my Swiss miss.My Swiss miss misses me.
515,"Now the trees are all groaning in growling, rough galesThat with thuds and hoarse roaring roll raging around!Such leaf-rousing, branch-ruining, ripping, raw wails,Such a terrible, thrashing and tree-wrecking sound!"
516,"Slinking, sliding, slithering slyly,Swiftly slipping through the grasses shyly,Silent but for swish and hissIs the sinuous snake's leglessness."
517,"Corythosaurus bit the gory esophagus of the dillapitated Dilophosaurus who lived in the sorest of forests with the whacky pachy-rinosaurus and the ceratosaurus, but the most poorest and mourish panoplosaurus called Wang sang and rang chorus with the lurdusaurus and the brachiosaurus who was dying of staphylococus-aureas."
518,"How much squash could a sasquatch squish, if a sasquatch could squish squash?"
519,fresh fish and fried prawns
520,She thrust three thousand thistles through the thick of her thumb.
521,It dawned on Don at dawn.
522,A snake sneaks to seek a snack.
523,A synonym for cinnamon is a cinnamon synonym.
524,Great Gate Crasher
525,"Sister Susie's sewing shirts for soldiers,Such saucy soft short shirts for soldiers sister Susie sews,Some soldiers send epistles say they'd sooner sleep on thistles,Than those saucy soft short shirts for soldiers,Sister Susie sews."
526,How many rats would the ruskies roast if the ruskies could roast rats?How many cats would a caddie catch if a caddie could catch cats?
527,Rural ruler
528,Swift shift
529,An illusory vision is a visionary illusion. Is it?
530,In shoulder surgery some surgeons sew soldiers' shoulders.
531,"Midget minute, midget minute, midget minute, ..."
532,Willy's wooden whistle wouldn't whistle when Willy went wild.
533,Wilson Winston winced whilst he minced a squinting prince.
534,"If a dog chews shoes, whose shoes does he choose?"
535,"I thought the haughty Professor Tortoise taught ontology, but the naughty Tortoise taught us tautology."
536,"Grandma Gabby Grammer grabbed a gram of gummy goulash.If Grandma Gabby Grammer grabbed a gram of gummy goulash,How many grams of gummy goulash did Grandma Gabby Grammer grab?"
537,He thrusts his fists against the posts
538,"Thrifty Theophilus, the theocratic thistle sifter, thrice thrust three thousand thistles through the slick thick of his softly throbbing thumb."
539,What's a synonym for cinnamon or is cinnamon synonym-less?
540,Dimensional analysis
541,Friskies frisbee
542,"Hulk Hawk is hulking the hawk, Hawk Hulk is hawking Hulk ... Hawk hugs the hedgehog"
543,Rather Ruth's writhings than Roth's wrath.
544,"The third time the three three-toed tree toads tried tying their toes together, the third three-toed tree toad tied the two three-toed tree toads toes to the third toads toes. Then the two tied three-toed tree toads told the third three-toed tree toad that tying their toes together thrilled them to their toe tips."
545,Darla's dollars
546,I see he sees high seas she sees.
547,I saw a kitten eating chicken in the kitchen.
548,My back black brake blocks are broken.
549,I shot a hippopotamus with bullets made of platinum because if I used leaden ones his hide would surely flatten them.
550,Normal word order or inverted word order?
551,Peter Rabbit raddish robber
552,There's a cross on the muzzle Of the pistol with the bulletBut a nick on the handleOf the pistol with the blank.
553,"The pellet with the poison'sIn the vessel with the pestleThe chalice from the palaceHas the brew that is true."" later switched to: ""The pellet with the poison'sIn the flagon with the dragonThe vessel with the pestleHas the brew that is true"""""
554,"The Doge did what a Doge does, when a Doge does his duty to a Duke, that is. When the Doge did his duty and the Duke didn't, that's when the Duchess did the dirt to the Duke with the Doge. There they were in the dark: The Duke with his dagger, the Doge with his dart and the Duchess with her dirk. The Duchess dug at the Duke just when the Duke dove at the Doge. Now the Duke ducked, the Doge dodged, and the Duchess didn't. So the Duke got the Duchess, the Duchess got the Doge, and the Doge got the Duke."
555,Everybody's heard of Peter Piper And the peck of pickled peppers that he picked
556,That's such a silly simple children's game It hasn't even got a name
557,But I'd like to bet that it'll trip you And I bet you're gonna have to say you're licked
558,If Peter Piper you pronounce with ease Then twist your tongue around these
559,Moses supposes his toeses are roses But Moses supposes erroneously For Moses he knowses his toeses aren't roses As Moses supposes his toeses to be
560,  Then step up mister and twist your tongue
561,Now Kissle will whistle at busty Miss. Russell Who'll rustle and bustle till Kissle will roar So Russell asked Axle for Kissle's dismissal And this'll teach Kissle to whistle no more 
562,Tito and Tato were tattooed in total But Toto was only tattooed on his toe So Tato told Tito where Toto was tattooed But Tito said Toto's tattoo wouldn't show
563,Theda thought Thora was thumping her thimble But Thomas thought Thora was thumping her drum Said Theda if Thora's not thumping her thimble I think that she surely is thumping her thumb
564,Now Charley is chary when choosing his cheeses And cheese is a challenge when Charley arrives When Charley is charming and chooses a cheddar Then chews it and chips it and chops in some chives
565,Heda is hoping to hop to Tahiti To hack a hibiscus to hang on her hat Now Heda has hundreds of hats on her hatrack So how can a hop to Tahiti help that
566,Snobby Miss. Nora is sniffing her snuffer The snuffer's no sniffing it makes Nora sneeze When Snyda lets Nort know his Nora is sneezing She snappily snorts Nora's sneezing a breeze
567,Sheila is selling her shop at the seashore For shops at the seashore are so sure to lose And she's not so sure of what she should be selling Should Sheila sell seashells or should she sell shoes
568,"Colliding, colt riding cowboys, combining colliding while gliding at night coinciding in their fight. It wasn't quite trite even with slight sight, who was right? The fight like light, flashed bright, fast as bears bite flies flying near the bears eyes the fleeing flies die."
569,Green and brown blades of grass
570,Broken blue crayon
571,Four poor fools filled four pools full.
572,Sleep sweetly! Sleep sweetly! Sleep sweetly!
573,"The  Professor Peter Peckinpah all purpose anti-personnel Peckinpah  pocket pistol under the toupee trick"""""
574,Pro bono boa prose
575,"Purple paper people, purple paper people, purple paper people, ..."
576,De doorgaans dappere Durgerdammer drukker Dirk Doordraver die driemaal daags drieduims dikke dictionaires drukte doch door de dagelijkse druk dermate depressief doordraaide dat Dirk daaraan denkend daardoor dieptreurig de donkergrijze deur der drukkerij denderend dicht donderde. Dirk's drie dikke domme dochters dachten dat depressieve Dirk dagelijks drie deciliter drabbig dikke donkere druivensap dronk.
577,Shannon shant ship ships through Shilshole.
578,"If blue bugs bleed blue blood, and black bugs bleed black blood, do blue-black bugs bleed blue-black blood?"
579,Carolina Herrera resides in the rural area with her running horses.
580,How many bears could Bear Grills grill if Bear grills could grill bears?
581,The children eat the chicken in the kitchen.
582,"Cheap Sheep Sheets, Cheap Sheep Sheets, Cheap Sheep Sheets."
583,The greedy Greek geek agreed.
584,Frozen Floyd flicks fat fleas for a fixed flat fee.
585,Many an anemone sees an enemy anemone.
586,An inchworm inches on ivy that itches.
587,"Nope, an antelope can't elope with a cantelope."
588,"Two tried"" and ""True tied"""""
589,Three free fleas flew freely through the flu.
590,The CEO's colleagues trusted those successful clients although their results weren't less than lumpy!  
591,"Jean Claude Jaquettie, with his jacket on.Jean Claude Jaquettie, with his jacket off.Jean Claude Jaquettie, with his jacket on.Jean Claude Jaquettie, with his jacket off.Jacket on,Jacket off,Jacket on,Jacket off."
592,Burger burglar
593,Quick queens quack quick quacks quicker than quacking quails.
594,"How many wenches could a witch's wench wrench wrench if a witch's wench wrench could wrench wenches. As many wenches as a witch's wench wrench could, if a witch's wench wrench could wrench wenches."
595,Washing the washing machine while watching the washing machine washing washing.
596,"Plaid pleated pants, Plaid pleated pants, Plaid pleated pants, ..."
597,"Drunk drugged ducks, Drunk drugged ducks, Drunk drugged ducks, ..."
598,She snapped a selfie with Sophie's silver cell phone.
599,She surely suits shiny sleek short skirts.
600,Tell Tom the ticket taker to take the ticket to the ticket wicket.
601,How many pounds in a groundhog's mound when a groundhog pounds hog mounds?
602,A happy hippo hopped and hiccupped.
603,"Labradoodle, labradoodle, labradoodle, ..."
604,Yelling yellow Yeti.
